325
(-1, -1)
(4, 3)
(4, 19)
(-1, -1)
(16, 3)
(4, 11)
(-1, -1)
(4, 11)
(16, 19)
(-1, -1)
(22, 7)
(26, 3)
(-1, -1)
(26, 3)
(26, 19)
(-1, -1)
(20, 19)
(32, 19)
(-1, -1)
(36, 3)
(48, 3)
(-1, -1)
(48, 3)
(40, 19)
(-1, -1)
(62, 3)
(58, 3)
(-1, -1)
(58, 3)
(56, 5)
(-1, -1)
(56, 5)
(56, 9)
(-1, -1)
(56, 9)
(52, 11)
(-1, -1)
(52, 11)
(56, 13)
(-1, -1)
(56, 13)
(56, 17)
(-1, -1)
(56, 17)
(58, 19)
(-1, -1)
(58, 19)
(62, 19)
(-1, -1)
(68, 19)
(68, 11)
(-1, -1)
(68, 13)
(70, 11)
(-1, -1)
(70, 11)
(72, 11)
(-1, -1)
(72, 11)
(74, 13)
(-1, -1)
(74, 13)
(74, 19)
(-1, -1)
(74, 13)
(76, 11)
(-1, -1)
(76, 11)
(78, 11)
(-1, -1)
(78, 11)
(80, 13)
(-1, -1)
(80, 13)
(80, 19)
(-1, -1)
(84, 11)
(90, 19)
(-1, -1)
(96, 11)
(90, 19)
(-1, -1)
(90, 19)
(86, 23)
(-1, -1)
(86, 23)
(84, 23)
(-1, -1)
(100, 23)
(112, 23)
(-1, -1)
(4, 45)
(4, 37)
(-1, -1)
(4, 39)
(6, 37)
(-1, -1)
(6, 37)
(8, 37)
(-1, -1)
(8, 37)
(10, 39)
(-1, -1)
(10, 39)
(10, 45)
(-1, -1)
(10, 39)
(12, 37)
(-1, -1)
(12, 37)
(14, 37)
(-1, -1)
(14, 37)
(16, 39)
(-1, -1)
(16, 39)
(16, 45)
(-1, -1)
(20, 37)
(30, 37)
(-1, -1)
(30, 37)
(32, 39)
(-1, -1)
(32, 39)
(32, 45)
(-1, -1)
(32, 41)
(22, 41)
(-1, -1)
(22, 41)
(20, 43)
(-1, -1)
(20, 43)
(22, 45)
(-1, -1)
(22, 45)
(32, 45)
(-1, -1)
(48, 37)
(38, 37)
(-1, -1)
(38, 37)
(36, 39)
(-1, -1)
(36, 39)
(38, 41)
(-1, -1)
(38, 41)
(46, 41)
(-1, -1)
(46, 41)
(48, 43)
(-1, -1)
(48, 43)
(46, 45)
(-1, -1)
(46, 45)
(36, 45)
(-1, -1)
(58, 31)
(58, 43)
(-1, -1)
(58, 43)
(60, 45)
(-1, -1)
(60, 45)
(64, 45)
(-1, -1)
(52, 37)
(64, 37)
(-1, -1)
(68, 41)
(80, 41)
(-1, -1)
(80, 41)
(80, 39)
(-1, -1)
(80, 39)
(78, 37)
(-1, -1)
(78, 37)
(70, 37)
(-1, -1)
(70, 37)
(68, 39)
(-1, -1)
(68, 39)
(68, 43)
(-1, -1)
(68, 43)
(70, 45)
(-1, -1)
(70, 45)
(80, 45)
(-1, -1)
(84, 45)
(84, 37)
(-1, -1)
(84, 41)
(88, 37)
(-1, -1)
(88, 37)
(94, 37)
(-1, -1)
(94, 37)
(96, 39)
(-1, -1)
(4, 75)
(4, 63)
(-1, -1)
(4, 63)
(14, 63)
(-1, -1)
(14, 63)
(16, 65)
(-1, -1)
(16, 65)
(16, 69)
(-1, -1)
(16, 69)
(14, 71)
(-1, -1)
(14, 71)
(4, 71)
(-1, -1)
(26, 57)
(26, 57)
(-1, -1)
(22, 63)
(26, 63)
(-1, -1)
(26, 63)
(26, 71)
(-1, -1)
(22, 71)
(30, 71)
(-1, -1)
(36, 67)
(48, 67)
(-1, -1)
(48, 67)
(48, 65)
(-1, -1)
(48, 65)
(46, 63)
(-1, -1)
(46, 63)
(38, 63)
(-1, -1)
(38, 63)
(36, 65)
(-1, -1)
(36, 65)
(36, 69)
(-1, -1)
(36, 69)
(38, 71)
(-1, -1)
(38, 71)
(48, 71)
(-1, -1)
(64, 63)
(54, 63)
(-1, -1)
(54, 63)
(52, 65)
(-1, -1)
(52, 65)
(52, 69)
(-1, -1)
(52, 69)
(54, 71)
(-1, -1)
(54, 71)
(64, 71)
(-1, -1)
(68, 67)
(80, 67)
(-1, -1)
(80, 67)
(80, 65)
(-1, -1)
(80, 65)
(78, 63)
(-1, -1)
(78, 63)
(70, 63)
(-1, -1)
(70, 63)
(68, 65)
(-1, -1)
(68, 65)
(68, 69)
(-1, -1)
(68, 69)
(70, 71)
(-1, -1)
(70, 71)
(80, 71)
(-1, -1)
(86, 55)
(90, 55)
(-1, -1)
(90, 55)
(92, 57)
(-1, -1)
(92, 57)
(92, 61)
(-1, -1)
(92, 61)
(96, 63)
(-1, -1)
(96, 63)
(92, 65)
(-1, -1)
(92, 65)
(92, 69)
(-1, -1)
(92, 69)
(90, 71)
(-1, -1)
(90, 71)
(86, 71)
(-2, -2)
